AHARON IPALE
ALAN ARKIN
ALAN BATES
ALAN LADD
ALAN RICKMAN
ALBERT FINNEY
ALBERTO SORDI
ALDO MACCIONE
ALEX KARRAS
ALEX CORD
ALFRED MOLINA
AL LETTIERI
AL FREEMAN JR
AL PACINO
ANDREW DUGGAN
ANDREW PRINE
ANDY GARCIA
ANTONIO BANDERAS
ANTHONY BATE
ANTHONY CARUSO
ANTHONY FRANCIOSA
ANTHONY PERKINS
ANTHONY QUINN
ANTHONY ZERBE
ARNOLDO FOA
ARNOLD SCHWARZENEGGER 
ARTHUR KENNEDY
AUDIE MURPHY
BARRY JACKSON
BARTON MACLANE
BASIL RATHBONE
BEN AFFLECK
BEN CROSS
BEN GAZZARA
BEN JOHNSON
BERNARD LEE
BERNIE HAMILTON
BILLY DEE WILLIAMS 
BILL MCKINNEY
BILL MURRAY
BILL PAXTON
BILL TARMEY
BILLY BOB THORTON
BING CROSBY
BRION JAMES
BOB ODENKIRK
BOB HOPE
BOB HOSKINS
BOOTH COLMAN
BORIS KARLOFF
BRADFORD DILLMAN
BRENDAN GLEESON
BRIAN COX
BRIAN DENNEHY
BRIAN KEITH
BRODERICK CRAWFORD
BRUCE DERN
BRUCE GORDON
BRUCE KIRBY
BRUCE LEE
BRUCE WILLIS
BRUNO GANZ
BRYAN FORBES
BUD SPENCER
BURGESS MEREDITH
BURT KWOUK
BURT LANCASTER
BURT REYNOLDS
BURT YOUNG
BUBBA SMITH
CAMERON MITCHELL
CARL REINER
CARY GRANT
CHADWICK BOSEMAN
CHARLES BICKFORD
CHARLES BRONSON
CHARLES CHAPLIN
CHARLES DANCE
CHARLES DRAKE
CHARLES DURNING
CHARLES KORVIN
Charles Laughton
CHARLES NAPIER
CHARLTON HESTON
CHRISTOPHER LEE
CHRISTOPHER LLYOD
CHRISTOPHER MAYER
CHRISTOPHER PLUMMER
CLANCY BROWN
CLARK GABLE
CLAUDE AKINS
CLAUDE LEVEILLEE
CLAUDE RAINS
CLIFF ROBERTSON
CLINT EASTWOOD
CLINT HOWARD
CONRAD BAIN
CORNEL WILDE
CORY MONTEITH
C.THOMAS HOWELL
CURD JURGENS
DALE ROBERTSON
DANA ANDREWS
DAN DURYEA
DAN FRAZER
DANIEL CRAIG
DANIEL OLBRYCHSKI
DANIEL VON BARGEN
DANNY AIELLO
DANNY GLOVER
DANNY KAYE
DANNY WEBB
DAN VAN HUSEN 
