AGNES MOOREHEAD
ALBERTA WATSON
ALEXANDRA BASTEDO
ALEXANDRA PAUL
ALEXANDRA STEWART
ALICE SAPRICH
ALI MACGRAW
ALIDA VALLI
AMPARO BARO
AMPARO RIVELLES
AMY ADAMS
AMY IRVING
ANDREA FERREOL
ANDREA PARISY
ANDREA RISEBOROUGH
ANEMONE
ANGELA LANSBURY
ANGELINA JOLIE
ANGHARAD REES
ANGIE DICKINSON
ANICEE ALVINA
ANITA BJORK
ANITA EKBERG
ANNA KARINA
ANNA MAGNANI
ANNA MARIA FERRERO
ANNA MARIA PIER ANGELI
ANNE BANCROFT
ANNE BAXTER
ANNE CANOVAS
ANNE FRANCIS
ANNE HATHAWAY
ANNE HECHE
ANNE JACKSON
ANNETTE BENING
ANNIE CORDY
ANNIE WERSCHING
ANN-MARGRET
ANN MILLER
ANN RUTHERFORD
ANNY DUPEREY
ANNIE GIRARDOT
ANN SOTHERN
ANOUK AIMEE
ANOUK FERJAC
ANTOINETTE BOWER
ANTOINETTE MOYA
ANTONELLA LUALDI
ARLENE DAHL
ARLETTE THOMAS
ARLETTY
AUBREY PLAZA
AUDREY HEPBURN
AURORE CLEMENT
AUDREY TAUTOU
AUDREY TOTTER
AVA GARDNER
BAI JING
BARBARA BAIN
BARBARA BEL GEBBES
BARBARA BILLINGSLEY
BARBARA BOUCHET
BARBARA HERSHEY
BARBARA LAAGE
BARBARA LAWRENCE
BARBARA NICHOLS
BARBARA PARKINS
BARBARA RUSH
BARBARA STANWYCK
BARBARA STEELE
BARBRA STREISAND
BAY LING
BELINDA LEE
BELLA DARVI
BERNADETTE LAFONT
BETH GODDARD
BETSY BLAIR
BETTE DAVIS
BETTY  GARRETT
BETTY STOCKFELD
BETTY WHITE
BIBI ANDERSSON
BILLIE WHITELAW
BLANCHETTE BRUNOY
BONNIE FRANKLIN
BRENDA BLETHYN
BRENDA JOYCE 
BRENDA STRONG
BRIGITTE AUBER
BRIGITTE BARDOT
BRIGITTE FOSSEY
BRITTANY MURPHY
BULLE OGIER
CAMERON DIAZ
CAPUCINE
CARA BUONO
CAREY MULLIGAN
CARMELITA GONZALEZ
CARMEN ELECTRA
CARMEN MAURA
CARMEN SEVILLA
CAROLE BOUQUET
CAROLE LAURE
CAROLINE CELLIER
CAROL LYNLEY
CAROLYN JONES 
CARRIE FISHER
CARROLL BAKER
CATERINA MURINO 
CATE BLANCHETT
CATHERINE DENEUVE
CATHERINE JOURDAN
CATHERINE KEENER
CATHERINE LACHENS
CATHERINE RICH
CATHERINE ROUVEL
CATHERINE SPAAK
C C H POUNDER
CECILE DE FRANCE
CELESTE HOLM
CELIA IMRIE
CHARLOTTE RAMPLING
CHICAGE AWASHIMA
CHRISTIANE MINAZZOLI
CHRISTINA HENDRICKS
CHRISTINE DEJOUX
CHRISTINE KAUFMANN
CHRISTINE LAHTI
CICELY TYSON
CLAUDETTE COLBERT
CLAUDIA  CARDINALE
CLAUDE GENSAC
CLAUDE JADE
CLAUDE WINTER
CLAUDINE AUGER
COLEEN GRAY
COLETTE BROSSET
COLETTE RENARD
CORINNE LE POULAIN
COURTENEY COX
CYD CHARISSE
CYRIELLE CLAIR
DANA WYNTER
DAHLIA LAVI
DANIELE EVENOU
DANIELLE DARRIEUX
DANIELLE VOLLE
DANIELE DELORME
DANY CARREL
DANY ROBIN
DAWN ADDAMS
DEANNA DURBIN
DEBBIE REYNOLDS
DEBBIE HARRY ou DEBORAH HARRY
DEBORAH KERR
DEBORAH RAFFIN
DELPHINE SEYRIG
DENISE DARCEL
DENISE GENCE
DENISE GREY
DENISE RICHARDS
DIANA DORS
DIANE BAKER
DIANE CELENTO
DIANE KEATON
DIANE LADD
DIANA RIGG
DOMINIQUE LAFFIN
DOMINIQUE LABOURIER
DOMINIQUE SANDA
DONNA REED
DORA DOLL
DORIS DAY
DORIS ROBERTS
DORIS SINGLETON
DOROTHY DANDRIDGEI
DOROTHY MALONE
DOROTHY MCGUIRE
DOROTHY PROVINE
DULCIE GRAY
DYAN CANNON
EDIE FALCO
EDITH PIAF
EDITH SCOB
EDWIGE FEUILLERE
EILEEN BRENNAN 
ELAINE STEWART
ELEANOR PARKER
ELEANORA ROSSI DRAGO
ELGA ANDERSEN
ELISABETH BANKS
ELISABETH BOURGINE
ELISABETH MONTGOMERY
ELISABETH MOSS
ELISABETH PENA
ELISABETH TAYLOR
ELISABETH WILSON
ELLEN SCHWIERS
ELSA MARTINELLI
ELYSE KNOX
ELKE SOMMER
EMILY BROWNING
EMMANUELLE RIVA
EMMA CHAMBERS
EMMA SAMMS
EMMA THOMPSON
ERIKA BLANC
ESTHER WILLIAMS
EVA DARLAN
EVELYNE BUYLE
EVIN CROWLEY
FAITH DOMERGUE
FAMKE JANSSEN
FANNY ARDAN
FANNY COTTENCON
FARRAH FAWCETT
FAYE DUNAWAY
FAY WRAY
FLORENCE GIORGETTI
FRANCES FISHER
FRANCOISE ARNOUL
FRANCOISE BERTIN
FRANCOISE BRION
FRANCOISE CHRISTOPHE
FRANCOISE FABIAN
FRANCOISE PREVOST
FRANCOISE ROSAY
GAYLE HUNNICUTT
GEENA DAVIS
GEMMA JONES
GENA ROWLANDS
GENE TIERNEY
GENEVIEVE PAGE
GERALDINE CHAPLIN
GERALDINE MCEWAN
GERALDINE PAILHAS
GINA GERSHON
GINA LOLLOBRIGIDA
GINETTE GARCIN
GINETTE LECLERC
GINGERS ROGERS
GISELE CASADESUS
GLENDA JACKSON
GLENN CLOSE
GLENNE HEADLY
GLYNIS BARBER
GLYNIS JOHNS
GLORIA GRAHAME
GLORIA STUART
GOOGIE WITHERS
GRACE BRADLEY
GRACE KELLY
GRACE LEE WHITNEY
GRACE ZABRISKY
GRETA GARBO
GIULIETTA MASINA
HALLE BERRY
HANNELORE ELSNER 
HEATHER LOCKLEAR
HEDY LAMARR
HELENE STANTON
HELEN MCCRORY
HILDEGARDE NEFF
HOPE EMERSON
IDA LUPINO
INGRID BERGMAN
INGRID THULIN
IRENE PAPAS
IRM HERMANN
ISABELLA ROSSELLINI
ISABELLE ADJANI
ISABELLE CARRE
ISABELLE HUPPERT
ISABELLE NANTY
ISABELLE SADOYAN
JACQUELINE BISSET
JACQUELINE MAILLAN
JACQUELINE PEARCE
JAIMIE ALEXANDER
JAMIE LEE CURTIS
JANE BIRKIN
JANE FONDA
JANE GREER
JANE RUSSELL
JANE SEYMOUR
JANET BROWN
JANET CARROLL
JANET LEIGH
JANET MACLACHLAN 
JAN STERLING
JANE WYMAN
JANIS PAIGE
JAYNE MEADOWS
JEAN ARTHUR
JEANETTE NOLAND
JEAN HARLOW
JEAN KENT
JEANNE COOPER
JEANNE CRAIN
JEANNE GOUPIL
JEANNE MOREAU
JEAN SEBERG
JEAN SIMMONS
JENNIFER ANISTON
JENNIFER CONNELLY
JENNIFER GARNER
JENNIFER JONES
JENNY CLEVE
JESSICA ALBA 
JESSICA CHASTAING
JESSICA LANGE
JESSICA WALTER
JOAN ALLEN
JOAN BENNETT
JOAN COLLINS
JOAN CRAWFORD
JOAN FONTAINE
JOAN LESLIE
JOANNA LUMLEY
JOANNE DRU
JODIE FOSTER
JOHN INGLE
JOSETTE DAY
JOSIANNE BALASKO
JO VAN FLEET
JUANITA MOORE
JUDITH ANDERSON
JUDITH MAGRE
JUDITH MALINA
JUDY DENCH
JUDY GARLAND
JULIANNE MOORE
JULIA ROBERTS
JULIE ADAMS
JULIE ANDREWS
JULIE CHRISTIE
JULIETTE BINOCHE
